ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	Inferior	Normal	Superior	Indice	Porcentaje
5987	-75.325	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	VALDIVIA	7.4	21.3	71.3	3	71.3
5988	-75.275	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	TARAZÁ	6.9	24.4	68.7	3	68.7
5989	-75.225	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	TARAZÁ	8.6	19.4	72	3	72
5990	-75.175	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	CÁCERES	10	17.8	72.2	3	72.2
5991	-75.125	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ANORÍ	9.5	14.5	76	3	76
5992	-75.075	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ANORÍ	8.5	12.3	79.1	3	79.1
5993	-75.025	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ANORÍ	7.8	15.1	77.1	3	77.1
5994	-74.975	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ANORÍ	11	10.3	78.7	3	78.7
5995	-74.925	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ANORÍ	10.2	12.5	77.3	3	77.3
5996	-74.875	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ZARAGOZA	9.5	12.1	78.4	3	78.4
5997	-74.825	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ZARAGOZA	9.6	12.2	78.3	3	78.3
5998	-74.775	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ZARAGOZA	10.2	15.1	74.7	3	74.7
5999	-74.725	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ZARAGOZA	10.4	20.3	69.3	3	69.3
6000	-74.675	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ZARAGOZA	8.7	16.2	75.2	3	75.2
6001	-74.625	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ZARAGOZA	7.4	17	75.5	3	75.5
6002	-74.575	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	SEGOVIA	7.6	18.3	74.1	3	74.1
6003	-74.525	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	SEGOVIA	8.4	18.5	73.1	3	73.1
6004	-74.475	7.375	Sinú - San Jorge - Porce	BOLÍVAR	SANTA ROSA DEL SUR	7.4	20.1	72.5	3	72.5
6005	-74.425	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	SEGOVIA	7.2	18.7	74	3	74
6006	-74.375	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	SEGOVIA	8.4	16.3	75.3	3	75.3
6007	-74.325	7.375	Sinú - San Jorge - Porce	BOLÍVAR	SAN PABLO	8.8	16	75.2	3	75.2
6008	-74.275	7.375	Sinú - San Jorge - Porce	BOLÍVAR	SAN PABLO	9.5	15	75.5	3	75.5
6009	-74.225	7.375	Sinú - San Jorge - Porce	BOLÍVAR	SAN PABLO	11.6	9.8	78.6	3	78.6
6010	-74.175	7.375	Sinú - San Jorge - Porce	BOLÍVAR	SAN PABLO	13.8	7.7	78.5	3	78.5
6011	-74.125	7.375	Medellín - Carare - Opón	BOLÍVAR	SAN PABLO	11	9.3	79.8	3	79.8
6012	-74.075	7.375	Medellín - Carare - Opón	BOLÍVAR	CANTAGALLO	10.9	10	79.1	3	79.1
6013	-74.025	7.375	Medellín - Carare - Opón	BOLÍVAR	CANTAGALLO	11.4	10.7	77.9	3	77.9
